addr,x,log1pexp,signed_raw,twos_complement
0,-8.0,0.00033540637289576885,0,0
1,-7.98435972629521,0.0003406925577919643,0,0
2,-7.96871945259042,0.0003460620413913633,0,0
3,-7.9530791788856305,0.0003515161358413013,0,0
4,-7.937438905180841,0.00035705617394392607,0,0
5,-7.921798631476051,0.0003626835094808681,0,0
6,-7.906158357771261,0.00036839951754299977,0,0
7,-7.890518084066471,0.0003742055948653616,0,0
8,-7.874877810361681,0.00038010316016733894,0,0
9,-7.859237536656892,0.00038609365449816677,0,0
10,-7.843597262952102,0.0003921785415878496,0,0
11,-7.827956989247312,0.0003983593082035784,0,0
12,-7.812316715542522,0.00040463746451173025,0,0
13,-7.796676441837732,0.0004110145444455388,0,0
14,-7.7810361681329425,0.0004174921060785227,0,0
15,-7.765395894428153,0.0004240717320037624,0,0
16,-7.749755620723363,0.0004307550297191148,0,0
17,-7.734115347018573,0.0004375436320184606,0,0
18,-7.718475073313783,0.0004444391973890754,0,0
19,-7.702834799608993,0.00045144341041522155,0,0
20,-7.687194525904204,0.000458557982188057,0,0
21,-7.671554252199414,0.0004657846507219593,0,0
22,-7.655913978494624,0.0004731251813773633,0,0
23,-7.640273704789834,0.0004805813672902162,0,0
24,-7.624633431085044,0.0004881550298081499,0,0
25,-7.6089931573802545,0.0004958480189334772,0,0
26,-7.593352883675465,0.0005036622137731158,0,0
27,-7.577712609970675,0.0005115995229955494,0,0
28,-7.562072336265885,0.0005196618852949336,0,0
29,-7.546432062561095,0.000527851269862459,0,0
30,-7.530791788856305,0.0005361696768650806,0,0
31,-7.515151515151516,0.0005446191379317333,0,0
32,-7.499511241446726,0.0005532017166471441,0,0
33,-7.483870967741936,0.000561919509053361,0,0
34,-7.468230694037146,0.000570774644159119,0,0
35,-7.452590420332356,0.0005797692844571619,0,0
36,-7.436950146627566,0.0005889056264496468,0,0
37,-7.421309872922776,0.0005981859011817507,0,0
38,-7.405669599217986,0.0006076123747836143,0,0
39,-7.390029325513196,0.0006171873490207425,0,0
40,-7.374389051808406,0.0006269131618529997,0,0
41,-7.3587487781036165,0.0006367921880023296,0,0
42,-7.343108504398827,0.0006468268395293332,0,0
43,-7.327468230694037,0.0006570195664188454,0,0
44,-7.311827956989247,0.0006673728571746459,0,0
45,-7.296187683284457,0.000677889239423446,0,0
46,-7.280547409579667,0.0006885712805282956,0,0
47,-7.264907135874878,0.0006994215882115552,0,0
48,-7.249266862170088,0.0007104428111875792,0,0
49,-7.233626588465298,0.0007216376398052621,0,0
50,-7.217986314760508,0.0007330088067005974,0,0
51,-7.202346041055718,0.0007445590874594058,0,0
52,-7.1867057673509285,0.0007562913012903868,0,0
53,-7.171065493646139,0.0007682083117086549,0,0
54,-7.155425219941349,0.0007803130272299199,0,0
55,-7.139784946236559,0.0007926084020754749,0,0
56,-7.124144672531769,0.0008050974368881607,0,0
57,-7.108504398826979,0.0008177831794594718,0,0
58,-7.0928641251221896,0.000830668725467977,0,0
59,-7.0772238514174,0.0008437572192292286,0,0
60,-7.06158357771261,0.0008570518544573349,0,0
61,-7.04594330400782,0.0008705558750383769,0,0
62,-7.03030303030303,0.0008842725758158487,0,0
63,-7.0146627565982405,0.0008982053033883085,0,0
64,-6.999022482893451,0.0009123574569194232,0,0
65,-6.983382209188661,0.0009267324889606013,0,0
66,-6.967741935483871,0.0009413339062864023,0,0
67,-6.952101661779081,0.0009561652707429217,0,0
68,-6.936461388074291,0.0009712302001093467,0,0
69,-6.9208211143695015,0.0009865323689728857,0,0
70,-6.905180840664712,0.0010020755096172768,0,0
71,-6.889540566959922,0.0010178634129250797,0,0
72,-6.873900293255132,0.0010338999292939632,0,0
73,-6.858260019550342,0.001050188969567203,0,0
74,-6.842619745845552,0.0010667345059786027,0,0
75,-6.826979472140763,0.0010835405731120609,0,0
76,-6.811339198435973,0.0011006112688760061,0,0
77,-6.795698924731183,0.0011179507554929264,0,0
78,-6.780058651026393,0.0011355632605042213,0,0
79,-6.764418377321603,0.0011534530777906119,0,0
80,-6.7487781036168135,0.0011716245686083423,0,0
81,-6.733137829912024,0.0011900821626414163,0,0
82,-6.717497556207234,0.0012088303590701054,0,0
83,-6.701857282502444,0.001227873727655985,0,0
84,-6.686217008797654,0.0012472169098437379,0,0
85,-6.670576735092864,0.0012668646198799884,0,0
86,-6.654936461388075,0.0012868216459494199,0,0
87,-6.639296187683285,0.0013070928513284371,0,0
