mode,total_bits,int_bits,frac_bits,lut_total_bits,lut_int_bits,lut_frac_bits,lut_min,lut_max,lut_entries,lut_address_width,lut_memory_bits,max_abs_error,mean_abs_error,rmse,max_relative_error,overflow_count,saturation_count,lut_low_count,lut_high_count,table_saturation_count,monotonic_issues,repeated_accum_abs_error
fixed-clamp,24,16,7,24,16,7,-16.000000,8.000000,128,7,3072,56,12.2512649332,21.3818578776,1,0,19580,9037,10543,0,0,0.0897519625898
fixed-clamp,24,16,7,24,16,7,-16.000000,8.000000,256,8,6144,56,12.2483135725,21.3818465488,1,0,19580,9037,10543,0,0,0.0350644625898
fixed-clamp,24,16,7,24,16,7,-16.000000,8.000000,512,9,12288,56,12.2468398766,21.3818436795,1,0,19580,9037,10543,0,0,0.0350644625898
fixed-clamp,24,16,7,24,16,7,-16.000000,8.000000,1024,10,24576,56,12.246134244,21.3818430019,1,0,19580,9037,10543,0,0,0.0116269625898
fixed-clamp,24,16,7,24,16,7,-16.000000,0.000000,64,6,1536,63.3046875,15.6532469329,25.6989478023,1,0,21090,9037,12053,0,0,0.0897519625898
fixed-clamp,24,16,7,24,16,7,-16.000000,0.000000,128,7,3072,63.3046875,15.6529284547,25.698947339,1,0,21090,9037,12053,0,0,0.0663144625898
fixed-clamp,24,16,7,24,16,7,-16.000000,0.000000,256,8,6144,63.3046875,15.6527856194,25.698947233,1,0,21090,9037,12053,0,0,0.0194394625898
fixed-clamp,24,16,7,24,16,7,-16.000000,0.000000,512,9,12288,63.3046875,15.6527108378,25.6989472069,1,0,21090,9037,12053,0,0,0.0194394625898
fixed-clamp,24,16,7,24,16,7,-16.000000,0.000000,1024,10,24576,63.3046875,15.6526817165,25.6989472011,1,0,21090,9037,12053,0,0,0.0116269625898
fixed-clamp,24,16,7,24,16,7,-12.000000,8.000000,64,6,1536,56,12.2552461505,21.3818855431,1,0,20333,9790,10543,0,0,0.16006446259
fixed-clamp,24,16,7,24,16,7,-12.000000,8.000000,128,7,3072,56,12.2503238944,21.381853369,1,0,20333,9790,10543,0,0,0.0975644625898
fixed-clamp,24,16,7,24,16,7,-12.000000,8.000000,256,8,6144,56,12.2478329165,21.3818453948,1,0,20333,9790,10543,0,0,0.0506894625898
fixed-clamp,24,16,7,24,16,7,-12.000000,8.000000,512,9,12288,56,12.2466104883,21.3818434095,1,0,20333,9790,10543,0,0,0.0116269625898
fixed-clamp,24,16,7,24,16,7,-12.000000,8.000000,1024,10,24576,56,12.2460249715,21.3818429399,1,0,20333,9790,10543,0,0,0.00381446258984
fixed-clamp,24,16,7,24,16,7,-8.000000,8.000000,64,6,1536,56,12.2531903127,21.3818695482,1,0,21086,10543,10543,0,0,0.11318946259
fixed-clamp,24,16,7,24,16,7,-8.000000,8.000000,128,7,3072,56,12.2492796607,21.3818494,1,0,21086,10543,10543,0,0,0.0428769625898
fixed-clamp,24,16,7,24,16,7,-8.000000,8.000000,256,8,6144,56,12.2473488848,21.3818444544,1,0,21086,10543,10543,0,0,0.0272519625898
fixed-clamp,24,16,7,24,16,7,-8.000000,8.000000,512,9,12288,56,12.246361249,21.3818431746,1,0,21086,10543,10543,0,0,0.0194394625898
fixed-clamp,24,16,7,24,16,7,-8.000000,8.000000,1024,10,24576,56,12.2459096339,21.381842878,1,0,21086,10543,10543,0,0,0.00381446258984
