mode,iterations,float_acceptance,approx_acceptance,accept_decision_diff,chain_accept_decision_diff,same_order_mae,same_order_max,final_float_score,final_approx_score,final_score_drift,order_match_positions,overflow,saturation,lut_low,lut_high,elapsed,total_bits,int_bits,frac_bits,lut_entries,lut_min,lut_max
fixed-piecewise,5000,0.411200,0.402600,2,349,0.008818789,0.022467285,-22382.310559777,-22381.692047119,0.618512658,4,0,0,874326,223925,0.022635,32,16,15,1024,-16.0,8.0
fixed-piecewise,5000,0.411200,0.411200,0,0,0.006396999,0.011206299,-22382.310559777,-22382.315551758,-0.004991981,8,0,0,942758,223827,0.022269,32,16,15,1024,-8.0,8.0
fixed-piecewise,5000,0.411200,0.397800,6,861,0.034890145,0.066534668,-22382.310559777,-22384.515625000,-2.205065223,0,0,0,878076,223692,0.023110,24,16,7,512,-16.0,8.0
fixed-piecewise,5000,0.411200,0.405800,5,855,0.024082261,0.040532100,-22382.310559777,-22384.500000000,-2.189440223,0,0,0,941090,224054,0.022186,24,16,7,512,-8.0,8.0
fixed-piecewise,5000,0.411200,0.405800,6,855,0.019633238,0.037006513,-22382.310559777,-22384.500000000,-2.189440223,0,0,0,941092,224054,0.022004,24,16,7,1024,-8.0,8.0
fixed-piecewise,5000,0.411200,0.403000,29,963,0.241256931,0.410827253,-22382.310559777,-22384.875000000,-2.564440223,0,0,0,879663,224229,0.022703,20,16,3,512,-16.0,8.0
fixed-piecewise,5000,0.411200,0.357200,199,1010,1.852415873,3.355597168,-22382.310559777,-22385.000000000,-2.689440223,1,0,0,876164,225308,0.022745,16,15,0,512,-16.0,8.0
fixed-clamp,5000,0.411200,0.293200,2119,986,6891.820154208,6997.194525106,-22382.310559777,-29197.156250000,-6814.845690223,0,0,1273003,95057,1177946,0.027486,24,16,7,512,-16.0,8.0
